workbook,view,tema,ladefe_url,pages_count,reused,tableau_url,ladefe_pages
3_3cMatrculaECNivelPrimario,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/caracteristicas-de-la-matricula-de-la-educacion-comun/matricula-de-nivel-primario/,1,No,https://public.tableau.com/views/3_3cMatrculaECNivelPrimario/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/caracteristicas-de-la-matricula-de-la-educacion-comun/matricula-de-nivel-primario/
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/caracteristicas-de-la-matricula-de-la-educacion-comun/matricula-de-nivel-secundario/,1,No,https://public.tableau.com/views/3_3dMatrculaECNivelSecundario/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/caracteristicas-de-la-matricula-de-la-educacion-comun/matricula-de-nivel-secundario/
3_3eMatrculaIETasadeescolarizacin,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/tasas-de-escolarizacion/,1,No,https://public.tableau.com/views/3_3eMatrculaIETasadeescolarizacin/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/tasas-de-escolarizacion/
3_3fMatrculaIEPromocinyabandono,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/promocion-efectiva-y-abandono-interanual/,1,No,https://public.tableau.com/views/3_3fMatrculaIEPromocinyabandono/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/promocion-efectiva-y-abandono-interanual/
3_3gMatrculaIERepitenciaysobreedad,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/repitencia-y-sobreedad/,1,No,https://public.tableau.com/views/3_3gMatrculaIERepitenciaysobreedad/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/repitencia-y-sobreedad/
3_3hMatrculaIETasadeegreso,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/tasa-de-egreso/,1,No,https://public.tableau.com/views/3_3hMatrculaIETasadeegreso/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/tasa-de-egreso/
3_4aEducacinespecialEstablecimientos,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-especial-para-nnya/establecimientos-educativos/,2,Sí,https://public.tableau.com/views/3_4aEducacinespecialEstablecimientos/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-especial-para-nnya/establecimientos-educativos/ | https://ladefe.gob.ar/monitoreo/grupos-prioritarios/nnya-con-discapacidad/educacion-especial-para-nnya/establecimientos-educativos/
3_4bEducacinespecialMatrcula,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-especial-para-nnya/matricula-educacion-especial/,2,Sí,https://public.tableau.com/views/3_4bEducacinespecialMatrcula/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-especial-para-nnya/matricula-educacion-especial/ | https://ladefe.gob.ar/monitoreo/grupos-prioritarios/nnya-con-discapacidad/educacion-especial-para-nnya/matricula/
3_5aTICsICensal,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/acceso-a-tics/acceso-a-tics-informacion-censal/,1,No,https://public.tableau.com/views/3_5aTICsICensal/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/acceso-a-tics/acceso-a-tics-informacion-censal/
3_5bTICsIEPH,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/acceso-a-tics/tics-informacion-urbana-eph/,1,No,https://public.tableau.com/views/3_5bTICsIEPH/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/acceso-a-tics/tics-informacion-urbana-eph/
