family_id,workbooks,members,worksheets,dashboards,fields,calculated_fields,filters,parameters,hyper_tables,hyper_columns,family_signature
F01,69,1_1Aspectosdemogrficos_Informacincensal | 1_2Aspectosdemogrficos_Censal | 2_1NBI | 2_1aTasasdepobreza | 2_1bPobrezahogares | 2_2aSeg_social_General | 2_2bAUH | 2_2cAAFF | 2_2dAsignacinembarazo | 2_2ePensinmadre7hijos | 2_3Seguridadalimentaria | 2_5bViviviendaCFServicios | 2_5cViviviendaEPHChabitacionales | 2_5dViviviendaEPHServicios | 2_6aTrabajoadolescenteCenso | 2_6bTrabajoinfantilyadolescenteEANNA | 3_1aAsistenciaICensal | 3_1bAsistenciaEPH | 3_2aEstablecimientosCaracteristicas | 3_2bEstablecimientosOfertayciclosNI | 3_2cEstablecimientoselectricidad | 3_2dEstablecimientosAccesoainternet | 3_2eEstablecimientosEntregadealimentos | 3_2eEstablecimientosLaboratorioinformtica | 3_3aMatrculaECCaractersticas | 3_3bMatrculaECNivelInicial | 3_3cMatrculaECNivelPrimario | 3_3dMatrculaECNivelSecundario | 3_3eMatrculaIETasadeescolarizacin | 3_3fMatrculaIEPromocinyabandono | 3_3gMatrculaIERepitenciaysobreedad | 3_3hMatrculaIETasadeegreso | 3_4aEducacinespecialEstablecimientos | 3_4bEducacinespecialMatrcula | 3_5aTICsICensal | 3_5bTICsIEPH | 4_1Coberturadesalud | 4_2aNatalidad | 4_2bNatalidadNacidosvivos | 4_2cNatalidadMadreyparto | 4_2dNatalidadLactancia | 4_3aMortalidadinfantilTasas | 4_3bMortalidadinfantilCaractersticas | 4_3cMortalidadMaterna | 4_4aMortalidadNNyATasa | 4_4bMortalidadNNyACausas | 4_6Nutricin | 5_1aNNyAconmedidasdeproteccion_NNyA | 5_1bNNyAconmedidasdeproteccion_Dispositivos | 5_2PAE | 5_3Lnea102 | 5_4aJusticiajuvenilAdolescentesyjvenes | 5_4bJusticiajuvenilDispositivospenales | 6_1Inversinpblicapresupuestonacional | 6_2aInversinpblicanacionalyprovincialNNyA | 6_2bInversinpblicanacionalyprovincialPrimerainfancia | 7_1SaludsexualyreproductivaFecundidadadolescente | 7_3aMortalidadadolescenteTasas | 7_3bMortalidadadolescenteCausas | 7_3cMortalidadadolescenteCausasexternas | 7_3dMortalidadadolescenteAccidentes | 7_4Becasprogresar | 8_1aNNyAdiscapacidadCUD_SS | 8_1bNNyAdiscapacidadCaracteristicasCUD | 8_1cNNyAdiscapacidadCaracteristicasurbanos | 8_2NNyAindgenas | 8_3aNNyAmigrantes_Losmigrantesenloscensosnacionales | 8_3bNNyAmigrantes_Losmigrantesenlasreasurbanas | 8_3cNNyAmigrantes_Losmigrantesenlosregistrosadministrativos,59,4,292,82,247,21,7,73,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0
F02,2,2_5aViviviendaCFCHabitacionales | 7_3eMortalidadadolescenteSuicidios,59,6,292,82,247,21,7,73,832ef14e5413612d69b9b90730b2cfe499e7bad2154824293219cadee63f9aaa
