logical_table,sample_sha256,workbooks,members
_Datos,787389c543a0fde55452bb374259b29ec03855f0b63f483cbed3a50c8665c2d5,8,2_2aSeg_social_General | 2_2bAUH | 2_2cAAFF | 2_2dAsignacinembarazo | 2_2ePensinmadre7hijos | 3_4bEducacinespecialMatrcula | 6_1Inversinpblicapresupuestonacional | 8_1aNNyAdiscapacidadCUD_SS
_Grupos_Indicadores,9210054a824980e5be40208c771b7c17958bdec5083e336c4fe39dacd89aae10,16,2_2aSeg_social_General | 2_2bAUH | 2_2cAAFF | 2_2dAsignacinembarazo | 2_2ePensinmadre7hijos | 3_4bEducacinespecialMatrcula | 4_4bMortalidadNNyACausas | 6_1Inversinpblicapresupuestonacional | 7_3aMortalidadadolescenteTasas | 7_3bMortalidadadolescenteCausas | 7_3cMortalidadadolescenteCausasexternas | 7_3dMortalidadadolescenteAccidentes | 7_3eMortalidadadolescenteSuicidios | 8_3aNNyAmigrantes_Losmigrantesenloscensosnacionales | 8_3bNNyAmigrantes_Losmigrantesenlasreasurbanas | 8_3cNNyAmigrantes_Losmigrantesenlosregistrosadministrativos
_Indicadores,0d13c36764be171ed66ccc6ed6b0811bc5cc260b93b51265f6c6459f264e651c,3,2_2aSeg_social_General | 2_2bAUH | 2_2cAAFF
_Indicadores,61083c03cdc48333aa8808f2beb81a3f5ab7ac31b0e6c8ee30ba15d4b9ab0cd2,2,2_2dAsignacinembarazo | 2_2ePensinmadre7hijos
_Temas,d7dd2ef1ccb6da5f18c6f1fe8cd7a005386595582a3c6c049edc407b9ff0b89f,20,3_1aAsistenciaICensal | 3_1bAsistenciaEPH | 3_2aEstablecimientosCaracteristicas | 3_2bEstablecimientosOfertayciclosNI | 3_2cEstablecimientoselectricidad | 3_2dEstablecimientosAccesoainternet | 3_2eEstablecimientosEntregadealimentos | 3_2eEstablecimientosLaboratorioinformtica | 3_3aMatrculaECCaractersticas | 3_3bMatrculaECNivelInicial | 3_3cMatrculaECNivelPrimario | 3_3dMatrculaECNivelSecundario | 3_3eMatrculaIETasadeescolarizacin | 3_3fMatrculaIEPromocinyabandono | 3_3gMatrculaIERepitenciaysobreedad | 3_3hMatrculaIETasadeegreso | 3_4aEducacinespecialEstablecimientos | 3_4bEducacinespecialMatrcula | 3_5aTICsICensal | 3_5bTICsIEPH
_Datos,ad55cfc5a7a2946087abe4dc79c97c73fd924998405bf5e8ac5c265613ebb45e,13,3_2aEstablecimientosCaracteristicas | 3_2bEstablecimientosOfertayciclosNI | 3_2cEstablecimientoselectricidad | 3_2dEstablecimientosAccesoainternet | 3_2eEstablecimientosLaboratorioinformtica | 3_3aMatrculaECCaractersticas | 3_3bMatrculaECNivelInicial | 3_3cMatrculaECNivelPrimario | 3_3dMatrculaECNivelSecundario | 3_3eMatrculaIETasadeescolarizacin | 3_3fMatrculaIEPromocinyabandono | 3_3gMatrculaIERepitenciaysobreedad | 3_4aEducacinespecialEstablecimientos
_Indicadores,47a812a34fc44bd4672f7b2ec595f9c84a97f3e9839f6f2b82d7a7e1d9965983,11,3_4bEducacinespecialMatrcula | 4_4bMortalidadNNyACausas | 6_1Inversinpblicapresupuestonacional | 7_3aMortalidadadolescenteTasas | 7_3bMortalidadadolescenteCausas | 7_3cMortalidadadolescenteCausasexternas | 7_3dMortalidadadolescenteAccidentes | 7_3eMortalidadadolescenteSuicidios | 8_3aNNyAmigrantes_Losmigrantesenloscensosnacionales | 8_3bNNyAmigrantes_Losmigrantesenlasreasurbanas | 8_3cNNyAmigrantes_Losmigrantesenlosregistrosadministrativos
_Temas,7a2f479c8f1c56ff575c1c97864e031644f050f4c9fc618ba37a983429106de5,11,4_1Coberturadesalud | 4_2aNatalidad | 4_2bNatalidadNacidosvivos | 4_2cNatalidadMadreyparto | 4_2dNatalidadLactancia | 4_3aMortalidadinfantilTasas | 4_3bMortalidadinfantilCaractersticas | 4_3cMortalidadMaterna | 4_4aMortalidadNNyATasa | 4_4bMortalidadNNyACausas | 4_6Nutricin
_Datos,e8f9787a7cc018f459d532eaf9ba2e5b5b13079fa5c5a86c21534ab1102a546c,9,4_4bMortalidadNNyACausas | 7_3aMortalidadadolescenteTasas | 7_3bMortalidadadolescenteCausas | 7_3cMortalidadadolescenteCausasexternas | 7_3dMortalidadadolescenteAccidentes | 7_3eMortalidadadolescenteSuicidios | 8_3aNNyAmigrantes_Losmigrantesenloscensosnacionales | 8_3bNNyAmigrantes_Losmigrantesenlasreasurbanas | 8_3cNNyAmigrantes_Losmigrantesenlosregistrosadministrativos
_Temas,db9d4f50d737dac35275054204300b41ce55fa1f1818e8e10dfc4bf612516f12,6,5_1aNNyAconmedidasdeproteccion_NNyA | 5_1bNNyAconmedidasdeproteccion_Dispositivos | 5_2PAE | 5_3Lnea102 | 5_4aJusticiajuvenilAdolescentesyjvenes | 5_4bJusticiajuvenilDispositivospenales
_Temas,d10d8cf494ed556b224023e30fbc648ad4131e0aeb066b8a5c7aee0820624a9a,3,6_1Inversinpblicapresupuestonacional | 6_2aInversinpblicanacionalyprovincialNNyA | 6_2bInversinpblicanacionalyprovincialPrimerainfancia
_Temas,81f7a0067bb7282f4fb67cb6af4821bddbd93a8c6d35347c152efcbb84f38751,7,7_1SaludsexualyreproductivaFecundidadadolescente | 7_3aMortalidadadolescenteTasas | 7_3bMortalidadadolescenteCausas | 7_3cMortalidadadolescenteCausasexternas | 7_3dMortalidadadolescenteAccidentes | 7_3eMortalidadadolescenteSuicidios | 7_4Becasprogresar
_Temas,9eb150fc38999604d1b0f6f9af6cfaa32a20fb5a2dd013e75575fada4ea02528,7,8_1aNNyAdiscapacidadCUD_SS | 8_1bNNyAdiscapacidadCaracteristicasCUD | 8_1cNNyAdiscapacidadCaracteristicasurbanos | 8_2NNyAindgenas | 8_3aNNyAmigrantes_Losmigrantesenloscensosnacionales | 8_3bNNyAmigrantes_Losmigrantesenlasreasurbanas | 8_3cNNyAmigrantes_Losmigrantesenlosregistrosadministrativos
