workbook,requested_view,twb_file,datasource,datasource_internal,field_name,caption,datatype,role,type,aggregation,semantic_role,hidden,param_domain_type,calculation_class,formula
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Calculation_5425289489148153872],DATOS_APERTURAS_Y_GRUPOS,boolean,dimension,nominal,,,,,tableau,"IF ([TIPO_DE_DATO] = 'APERTURA') THEN
    IF (NOT(ISNULL([APERTURA_NIVEL_1])) AND [APERTURA_NIVEL_1] <> ''
        AND NOT(ISNULL([MODALIDAD_APERTURA_NIVEL_1])) AND [MODALIDAD_APERTURA_NIVEL_1] <> ''
        AND NOT(ISNULL([APERTURA_NIVEL_2])) AND [APERTURA_NIVEL_2] <> '') THEN TRUE
    ELSE FALSE
    END
ELSE FALSE
END"
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Calculation_6236992910663057412],UNIDAD_GEOGRAFICA_REGION_STR,string,dimension,nominal,,,,,tableau,"""Región "" + [Region]"
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Calculation_6236992911662702608],DATO_VALOR_CALCULADO (MAPA),real,measure,quantitative,,,,,tableau,"IF MAX([INDICADOR_UNIDAD_MEDIDA_CODIGO]) = ""CANTIDAD"" THEN SUM([VALOR])

ELSEIF MAX([INDICADOR_UNIDAD_MEDIDA_CODIGO]) = ""PORCENTAJE"" THEN SUM([VALOR]) * 100 / SUM([VALOR_AUXILIAR])

ELSEIF MAX([INDICADOR_UNIDAD_MEDIDA_CODIGO]) = ""TASA_X_CIEN"" THEN SUM([VALOR]) / SUM([VALOR_AUXILIAR]) * 100

ELSEIF MAX([INDICADOR_UNIDAD_MEDIDA_CODIGO]) = ""TASA_X_MIL"" THEN SUM([VALOR]) / SUM([VALOR_AUXILIAR]) * 1000

ELSEIF MAX([INDICADOR_UNIDAD_MEDIDA_CODIGO]) = ""TASA_X_CIENMIL"" THEN SUM([VALOR]) / SUM([VALOR_AUXILIAR]) * 100000

ELSEIF MAX([INDICADOR_UNIDAD_MEDIDA_CODIGO]) = ""TASA_X_MILLON"" THEN SUM([VALOR]) / SUM([VALOR_AUXILIAR]) * 1000000

ELSEIF MAX([INDICADOR_UNIDAD_MEDIDA_CODIGO]) = ""RAZON_X_DIEZMIL"" THEN SUM([VALOR]) / SUM([VALOR_AUXILIAR]) * 10000

END"
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Calculation_6996412392490344453],BTN Serie Temporal,string,dimension,nominal,,,,,tableau,"""Evolución temporal"""
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Calculation_90705353144123399],DATO_APERTURA_MODALIDAD,string,dimension,nominal,,,,,tableau,"IF (NOT(ISNULL([MODALIDAD_APERTURA_NIVEL_2])) AND [MODALIDAD_APERTURA_NIVEL_2] <> """") 
THEN [MODALIDAD_APERTURA_NIVEL_2]
ELSE [MODALIDAD_APERTURA_NIVEL_1]
END"
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Calculation_955748346980958208],NOT p_mostrar_indicadores,boolean,dimension,nominal,,,,,tableau,NOT([Parameters].[p_grafico (copia)])
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Calculation_955748346981711873],Texto mostrar indicadores,string,dimension,nominal,,,,,tableau,"IF ([Parameters].[p_grafico (copia)]) 
THEN 'Cerrar el mapa de indicadores'
ELSE 'Abrir el mapa de indicadores'
END"
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Calculation_955748347035680770],blank,string,dimension,nominal,,,,,tableau,""""""
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[DATO_DE_SISTEMA],,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[DATO_PERIODO_STR (copy)_4723009402227015685],DATO_PERIODO,string,dimension,nominal,,,,,tableau,"IF     (ISNULL([MES])) THEN ''
ELSEIF ([MES] == 'T1') THEN 'Primer Trimestre' 
ELSEIF ([MES] == 'T2') THEN 'Segundo Trimestre' 
ELSEIF ([MES] == 'T3') THEN 'Tercer Trimestre'
ELSEIF ([MES] == 'T4') THEN 'Cuarto Trimestre'
ELSEIF ([MES] == 'S1') THEN 'Primer Semestre'
ELSEIF ([MES] == 'S2') THEN 'Segundo Semestre'
ELSEIF ([MES] == '1') THEN 'Enero'
ELSEIF ([MES] == '2') THEN 'Febrero'
ELSEIF ([MES] == '3') THEN 'Marzo'
ELSEIF ([MES] == '4') THEN 'Abril'
ELSEIF ([MES] == '5') THEN 'Mayo'
ELSEIF ([MES] == '6') THEN 'Junio'
ELSEIF ([MES] == '7') THEN 'Julio'
ELSEIF ([MES] == '8') THEN 'Agosto'
ELSEIF ([MES] == '9') THEN 'Septiembre'
ELSEIF ([MES] == '10') THEN 'Octubre'
ELSEIF ([MES] == '11') THEN 'Noviembre'
ELSEIF ([MES] == '12') THEN 'Diciembre'
END"
